CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
403250906,26,MANHATTAN,01/01/2016,00:01:00,12/31/2017,23:59:00,COMPLETED,GRANT,N.Y. HOUSING POLICE,233,MISDEMEANOR,INSIDE,SEX CRIMES,,175,"SEXUAL ABUSE 3,2",RESIDENCE - PUBLIC HOUSING,01/02/2019,996241,236149,40.81485028900005,-73.95668184799997,"(40.81485028900005, -73.95668184799997)"
235290134,6,MANHATTAN,01/01/2016,12:00:00,03/01/2016,12:00:00,COMPLETED,,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,,638,"HARASSMENT,SUBD 3,4,5",PHOTO/COPY,03/11/2019,981983,208095,40.73785727300003,-74.00818192199995,"(40.73785727300003, -74.00818192199995)"
983297347,23,MANHATTAN,01/01/2016,08:00:00,12/31/2017,08:00:00,ATTEMPTED,,N.Y. HOUSING POLICE,116,FELONY,INSIDE,SEX CRIMES,,177,SEXUAL ABUSE,RESIDENCE - PUBLIC HOUSING,04/28/2019,998730,226827,40.78926022400003,-73.94771000099996,"(40.78926022400003, -73.94771000099996)"
405538879,18,MANHATTAN,01/01/2016,17:00:00,04/05/2019,04:36:00,COMPLETED,,N.Y. POLICE DEPT,361,MISDEMEANOR,INSIDE,OFF. AGNST PUB ORD SENSBLTY &,,639,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,05/15/2019,988408,219412,40.76891888700004,-73.98499030199997,"(40.76891888700004, -73.98499030199997)"
614924322,14,MANHATTAN,01/01/2016,00:01:00,,,COMPLETED,,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,430,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED",BANK,09/11/2019,990247,212954,40.75119227300007,-73.97835693099995,"(40.75119227300007, -73.97835693099995)"
506003829,9,MANHATTAN,01/01/2016,21:00:00,01/02/2019,08:00:00,COMPLETED,,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,175,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,10/17/2019,987624,203977,40.72655401900005,-73.98782842699995,"(40.72655401900005, -73.98782842699995)"
932184137,34,MANHATTAN,01/01/2016,00:00:00,11/30/2019,22:00:00,COMPLETED,,N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,,177,SEXUAL ABUSE,RESIDENCE - APT. HOUSE,12/14/2019,1002106,249501,40.85148777400008,-73.93545796699993,"(40.85148777400008, -73.93545796699993)"
965893271,25,MANHATTAN,01/02/2016,09:00:00,01/02/2017,18:30:00,COMPLETED,,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,338,"LARCENY,PETIT FROM BUILDING,UN",RESIDENCE - APT. HOUSE,06/04/2019,999525,231804,40.802919400000064,-73.94482770699994,"(40.802919400000064, -73.94482770699994)"
886223360,6,MANHATTAN,01/14/2016,13:00:00,07/31/2019,16:00:00,COMPLETED,,N.Y. POLICE DEPT,351,MISDEMEANOR,INSIDE,CRIMINAL MISCHIEF & RELATED OF,,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",OTHER,07/31/2019,982746,206647,40.73388303300004,-74.00542831099993,"(40.73388303300004, -74.00542831099993)"
102770636,26,MANHATTAN,01/20/2016,15:00:00,,,COMPLETED,,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,,638,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,07/21/2019,996894,236589,40.816057056000034,-73.95432194199999,"(40.816057056000034, -73.95432194199999)"
664626047,34,MANHATTAN,01/28/2016,12:00:00,06/30/2017,00:00:00,COMPLETED,,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,739,"FRAUD,UNCLASSIFIED-FELONY",DOCTOR/DENTIST OFFICE,09/11/2019,1003718,252533,40.85980630000005,-73.92962232099995,"(40.85980630000005, -73.92962232099995)"
690833151,25,MANHATTAN,02/01/2016,13:00:00,09/01/2018,13:00:00,COMPLETED,WAGNER,N.Y. HOUSING POLICE,116,FELONY,INSIDE,SEX CRIMES,,166,SODOMY 2,RESIDENCE - PUBLIC HOUSING,04/06/2019,1000555,230994,40.800694331000045,-73.94110928599997,"(40.800694331000045, -73.94110928599997)"
992911590,18,MANHATTAN,02/01/2016,08:00:00,01/31/2018,08:00:00,COMPLETED,,N.Y. POLICE DEPT,340,MISDEMEANOR,INSIDE,FRAUDS,,718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",RESIDENCE - APT. HOUSE,07/07/2019,986383,218546,40.76654266100008,-73.99230119999999,"(40.76654266100008, -73.99230119999999)"
563999853,5,MANHATTAN,02/03/2016,20:40:00,02/03/2019,20:50:00,COMPLETED,,N.Y. POLICE DEPT,344,MISDEMEANOR,INSIDE,ASSAULT 3 & RELATED OFFENSES,,101,ASSAULT 3,BAR/NIGHT CLUB,02/03/2019,985464,200485,40.71696988100007,-73.99562209899995,"(40.71696988100007, -73.99562209899995)"
877956688,25,MANHATTAN,02/20/2016,00:00:00,08/08/2018,00:00:00,COMPLETED,,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,175,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,02/20/2019,1000555,230994,40.800694331000045,-73.94110928599997,"(40.800694331000045, -73.94110928599997)"
505910152,28,MANHATTAN,02/25/2016,20:11:00,02/25/2019,20:29:00,COMPLETED,,N.Y. POLICE DEPT,361,MISDEMEANOR,INSIDE,OFF. AGNST PUB ORD SENSBLTY &,,639,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,02/25/2019,998903,231702,40.802640491000034,-73.94707461199994,"(40.802640491000034, -73.94707461199994)"
748658209,34,MANHATTAN,03/05/2016,00:00:00,03/04/2019,23:35:00,COMPLETED,,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,03/05/2019,1003411,248824,40.84962687400008,-73.93074276299996,"(40.84962687400008, -73.93074276299996)"
849426894,30,MANHATTAN,03/06/2016,08:00:00,03/06/2016,09:00:00,COMPLETED,,N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,,177,SEXUAL ABUSE,RESIDENCE - APT. HOUSE,03/06/2019,999794,241252,40.82885104500008,-73.94383419099995,"(40.82885104500008, -73.94383419099995)"
337642706,23,MANHATTAN,03/18/2016,13:40:00,03/12/2019,13:46:00,COMPLETED,,N.Y. POLICE DEPT,126,FELONY,,MISCELLANEOUS PENAL LAW,,708,"IMPERSONATION 1, POLICE OFFICE",STREET,03/18/2019,999049,226734,40.78900443500004,-73.94655820499997,"(40.78900443500004, -73.94655820499997)"
455393595,32,MANHATTAN,03/23/2016,00:01:00,03/23/2017,00:01:00,COMPLETED,,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,175,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,03/23/2019,999358,236472,40.81573205300003,-73.94542041099999,"(40.81573205300003, -73.94542041099999)"
546531997,33,MANHATTAN,03/24/2016,20:00:00,03/25/2016,08:00:00,COMPLETED,,N.Y. POLICE DEPT,341,MISDEMEANOR,FRONT OF,PETIT LARCENY,,321,"LARCENY,PETIT FROM AUTO",STREET,03/26/2019,999162,243927,40.83619424000005,-73.94611193699996,"(40.83619424000005, -73.94611193699996)"
751682119,23,MANHATTAN,03/27/2016,15:00:00,03/27/2016,17:00:00,COMPLETED,,N.Y. HOUSING POLICE,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - PUBLIC HOUSING,07/12/2019,998730,226827,40.78926022400003,-73.94771000099996,"(40.78926022400003, -73.94771000099996)"
974105176,10,MANHATTAN,04/01/2016,08:00:00,09/06/2019,08:00:00,COMPLETED,,N.Y. POLICE DEPT,109,FELONY,,GRAND LARCENY,,407,"LARCENY,GRAND BY DISHONEST EMP",SMALL MERCHANT,09/24/2019,982115,209911,40.742841775000045,-74.00770617599994,"(40.742841775000045, -74.00770617599994)"
683644434,18,MANHATTAN,04/01/2016,08:00:00,12/15/2019,12:00:00,COMPLETED,,N.Y. POLICE DEPT,361,MISDEMEANOR,INSIDE,OFF. AGNST PUB ORD SENSBLTY &,,639,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,12/15/2019,987202,216308,40.76039969100003,-73.98934554699997,"(40.76039969100003, -73.98934554699997)"
991518134,19,MANHATTAN,04/04/2016,23:59:00,07/10/2019,09:32:00,COMPLETED,,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,,638,"HARASSMENT,SUBD 3,4,5",JEWELRY,07/19/2019,993118,219184,40.76828961700004,-73.96798663299995,"(40.76828961700004, -73.96798663299995)"
151621437,9,MANHATTAN,04/13/2016,22:00:00,,,ATTEMPTED,,N.Y. POLICE DEPT,106,FELONY,,FELONY ASSAULT,,109,"ASSAULT 2,1,UNCLASSIFIED",STREET,05/29/2019,991134,203370,40.72488591800004,-73.97516535599993,"(40.72488591800004, -73.97516535599993)"
181592115,1,MANHATTAN,04/21/2016,09:00:00,01/11/2019,09:30:00,COMPLETED,,N.Y. POLICE DEPT,340,MISDEMEANOR,FRONT OF,FRAUDS,,718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",PUBLIC BUILDING,01/12/2019,982514,197852,40.709742835000036,-74.00626316399996,"(40.709742835000036, -74.00626316399996)"
153768808,32,MANHATTAN,04/23/2016,04:00:00,04/28/2016,04:00:00,COMPLETED,,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,407,"LARCENY,GRAND BY DISHONEST EMP",GROCERY/BODEGA,03/22/2019,1001540,241249,40.828839565000074,-73.93752514099998,"(40.828839565000074, -73.93752514099998)"
321009695,34,MANHATTAN,04/25/2016,18:00:00,04/25/2019,19:00:00,COMPLETED,,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,,637,"HARASSMENT,SUBD 1,CIVILIAN",HOMELESS SHELTER,06/17/2019,1005771,253980,40.86377311300004,-73.92219584099996,"(40.86377311300004, -73.92219584099996)"
458868156,30,MANHATTAN,05/01/2016,00:01:00,09/01/2017,23:39:00,COMPLETED,,N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,,177,SEXUAL ABUSE,RESIDENCE - APT. HOUSE,09/10/2019,999794,241252,40.82885104500008,-73.94383419099995,"(40.82885104500008, -73.94383419099995)"
336589666,13,MANHATTAN,05/03/2016,00:00:00,11/11/2019,23:59:00,COMPLETED,,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,407,"LARCENY,GRAND BY DISHONEST EMP",RESIDENCE - APT. HOUSE,12/23/2019,988699,208577,40.73917941600007,-73.98394690499998,"(40.73917941600007, -73.98394690499998)"
250595754,5,MANHATTAN,05/26/2016,00:00:00,02/27/2019,23:00:00,COMPLETED,,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,426,"LARCENY,GRAND BY BANK ACCT COMPROMISE-TELLER",BANK,05/09/2019,982932,200142,40.71602841300006,-74.00475589499997,"(40.71602841300006, -74.00475589499997)"
162814945,34,MANHATTAN,05/27/2016,12:00:00,02/14/2017,12:00:00,COMPLETED,,N.Y. POLICE DEPT,113,FELONY,INSIDE,FORGERY,,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",RESIDENCE - APT. HOUSE,04/02/2019,1004619,254992,40.86655347800007,-73.92635762799993,"(40.86655347800007, -73.92635762799993)"
738608402,25,MANHATTAN,06/01/2016,00:01:00,07/01/2017,23:59:00,COMPLETED,,N.Y. HOUSING POLICE,233,MISDEMEANOR,INSIDE,SEX CRIMES,,170,"SEXUAL MISCONDUCT,INTERCOURSE",RESIDENCE - PUBLIC HOUSING,03/15/2019,1000555,230994,40.800694331000045,-73.94110928599997,"(40.800694331000045, -73.94110928599997)"
192960911,26,MANHATTAN,06/01/2016,12:00:00,07/07/2019,21:00:00,COMPLETED,,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,,638,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,07/19/2019,996580,235787,40.81385623300008,-73.95545781599996,"(40.81385623300008, -73.95545781599996)"
278552485,24,MANHATTAN,06/01/2016,14:15:00,,,COMPLETED,,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,175,"SEXUAL ABUSE 3,2",,09/06/2019,993336,229488,40.796571143000044,-73.96718568699998,"(40.796571143000044, -73.96718568699998)"
916084988,20,MANHATTAN,06/04/2016,17:50:00,,,COMPLETED,,N.Y. POLICE DEPT,341,MISDEMEANOR,,PETIT LARCENY,,321,"LARCENY,PETIT FROM AUTO",RESIDENCE - APT. HOUSE,07/22/2019,990518,223221,40.779372352000046,-73.97736926,"(40.779372352000046, -73.97736926)"
144470456,20,MANHATTAN,06/11/2016,21:12:00,,,COMPLETED,,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,432,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED",RESIDENCE - APT. HOUSE,10/10/2019,990646,224381,40.78255615300003,-73.97690597899998,"(40.78255615300003, -73.97690597899998)"
141577142,28,MANHATTAN,07/01/2016,19:00:00,05/31/2018,18:00:00,COMPLETED,,N.Y. POLICE DEPT,361,MISDEMEANOR,INSIDE,OFF. AGNST PUB ORD SENSBLTY &,,639,AGGRAVATED HARASSMENT 2,OTHER,01/16/2019,995918,231111,40.80102280400007,-73.95785749799995,"(40.80102280400007, -73.95785749799995)"
134771619,25,MANHATTAN,07/01/2016,00:01:00,,,COMPLETED,,N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,,177,SEXUAL ABUSE,OTHER,07/10/2019,1000555,230994,40.800694331000045,-73.94110928599997,"(40.800694331000045, -73.94110928599997)"
730250012,5,MANHATTAN,07/01/2016,12:00:00,07/01/2016,15:00:00,COMPLETED,,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,170,"SEXUAL MISCONDUCT,INTERCOURSE",STREET,10/01/2019,984946,200203,40.716195914000025,-73.99749074599998,"(40.716195914000025, -73.99749074599998)"
509032816,32,MANHATTAN,07/01/2016,12:00:00,10/27/2016,12:00:00,ATTEMPTED,,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,175,"SEXUAL ABUSE 3,2",RESIDENCE-HOUSE,10/24/2019,999358,236472,40.81573205300003,-73.94542041099999,"(40.81573205300003, -73.94542041099999)"
